item_id,country,case,model,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
AltoParaguay,Paraguay,Dengue,LightGBM,2017-01,86.72943533,52,0,0,92.7826087,0.09340831,,2,0,inf,1.704701656,57.6,1,52,1,15.4,1
AltoParaguay,Paraguay,Dengue,LightGBM,2017-02,78.98016033,48,0,0,90.82978723,0.088076833,,2,0,inf,1.587217928,52.2,1,48,1,14.4,1
AltoParaguay,Paraguay,Dengue,LightGBM,2017-03,47.53873767,37,0,0,88.95833333,0.069320843,,2,0,inf,1.077283372,36,1,37,1,11.4,1
AltoParaguay,Paraguay,Dengue,LightGBM,2017-04,30.45792983,29,0,0,87.14285714,0.055464481,,2,0,inf,0.707650273,25.2,1,29,1,9.6,1
AltoParaguay,Paraguay,Dengue,LightGBM,2017-05,16.879857,23,0,0,85.4,0.044886807,,2,0,inf,0.400078064,16.2,1,23,1,7.8,1
AltoParaguay,Paraguay,Dengue,LightGBM,2017-06,12.13302133,20,0,0,83.7254902,0.039812646,,2,0,inf,0.240866511,12.6,1,20,1,7,1
AltoParaguay,Paraguay,Dengue,LightGBM,2017-07,8.984578,17,0,0,82.11538462,0.034504294,,2,0,inf,0.158313817,10.8,1,17,1,6.2,1
AltoParana,Paraguay,Dengue,LightGBM,2017-01,2227.294268,255,0,0,284.3043478,0.149487689,,2,0,inf,4.42659428,372.6,1,255,1,61.4,1
AltoParana,Paraguay,Dengue,LightGBM,2017-02,2144.629886,244,0,0,278.5106383,0.14601477,,2,0,inf,4.298459384,356.4,1,244,1,58.2,1
AltoParana,Paraguay,Dengue,LightGBM,2017-03,1939.487681,214,0,0,272.9583333,0.130667074,,2,0,inf,3.79117692,311.4,1,214,1,51.6,1
AltoParana,Paraguay,Dengue,LightGBM,2017-04,1218.524751,158,0,0,267.5510204,0.098423595,,2,0,inf,2.734057971,223.2,1,158,1,39.2,1
AltoParana,Paraguay,Dengue,LightGBM,2017-05,330.4037578,95,0,0,262.2,0.060386473,,2,0,inf,1.379354183,118.8,1,95,1,25,1
AltoParana,Paraguay,Dengue,LightGBM,2017-06,148.3807478,65,0,0,257.0588235,0.042143402,,2,0,inf,0.85259344,75.6,1,65,1,18.2,1
AltoParana,Paraguay,Dengue,LightGBM,2017-07,102.4587285,54,0,0,252.1153846,0.035697941,,2,0,inf,0.678921943,57.6,1,54,1,15.4,1
Amambay,Paraguay,Dengue,LightGBM,2017-01,126.9185322,65,0,0,140.2826087,0.077225063,,2,0,inf,1.562322434,73.8,1,65,1,18.4,1
Amambay,Paraguay,Dengue,LightGBM,2017-02,125.3559592,64,0,0,137.5531915,0.077545759,,2,0,inf,1.546068574,72,1,64,1,18,1
Amambay,Paraguay,Dengue,LightGBM,2017-03,111.175293,59,0,0,135.1041667,0.072783346,,2,0,inf,1.373014649,66.6,1,59,1,17.2,1
Amambay,Paraguay,Dengue,LightGBM,2017-04,97.10637017,53,0,0,132.4693878,0.066682073,,2,0,inf,1.241796333,57.6,1,53,1,15.6,1
Amambay,Paraguay,Dengue,LightGBM,2017-05,63.67447367,43,1,0.166666667,129.9,0.055170644,4,1.888888889,0,43,0.853220426,43.2,1,43,1,13.2,1
Amambay,Paraguay,Dengue,LightGBM,2017-06,36.45629117,34,1,0.166666667,127.3921569,0.044482069,4,1.888888889,0,34,0.545559489,30.6,1,34,1,10.8,1
Amambay,Paraguay,Dengue,LightGBM,2017-07,26.94708167,29,1,0.166666667,124.9423077,0.038684521,4,1.888888889,0,29,0.393514956,21.6,1,29,1,9.6,1
Asuncion,Paraguay,Dengue,LightGBM,2017-01,1985.359143,251,29,4.833333333,995.0217391,0.042042633,14.51714286,1.651552802,0,8.655172414,1.192436259,360,1,251,1,61,1
Asuncion,Paraguay,Dengue,LightGBM,2017-02,1842.028462,237,31,5.166666667,975.4042553,0.04049603,14.33571429,1.604542177,0,7.64516129,1.140040136,340.2,1,237,1,58,1
Asuncion,Paraguay,Dengue,LightGBM,2017-03,1388.405227,192,31,5.166666667,957.6458333,0.033415276,10.6452381,1.506743206,0,6.193548387,0.907955707,268.2,1,192,1,47.4,1
Asuncion,Paraguay,Dengue,LightGBM,2017-04,1157.578045,162,25,4.166666667,938.8979592,0.028757119,10.87142857,1.524568774,0,6.48,0.760466026,221.4,1,162,1,40.6,1
Asuncion,Paraguay,Dengue,LightGBM,2017-05,376.5599725,98,23,3.833333333,921.92,0.017716649,8.876984127,1.368196559,0,4.260869565,0.394105056,118.8,1,98,1,26.4,1
Asuncion,Paraguay,Dengue,LightGBM,2017-06,266.8340712,80,28,4.666666667,903.9215686,0.014750542,8.634502924,1.308008471,0,2.857142857,0.31824295,87.2,0.833333333,80,0.833333333,28.4,0.833333333
Asuncion,Paraguay,Dengue,LightGBM,2017-07,4832.051348,223,204,34,886.5576923,0.041922446,4.468133611,1.315159273,0,1.093137255,1.413143605,89,0.666666667,223,0.666666667,316.6,0.666666667
Boqueron,Paraguay,Dengue,LightGBM,2017-01,373.8575678,65,110,18.33333333,7.717391304,1.403755869,0.532178624,0.571863799,0,0.590909091,36.95117371,17,0.166666667,65,0.333333333,88.4,0.666666667
