item_id,country,case,model,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
ARCA1tta4rF,Rwanda,Malaria,Auto ARIMA,2024-01,1187.874766,229.2111053,655,109.1666667,140.6770833,0.27155703,0.376927725,0.347121084,0,0.349940619,5.408290286,303.9205292,0,229.2111053,0.5,280.7953107,1
ARCA1tta4rF,Rwanda,Malaria,Auto ARIMA,2024-02,1322.514325,184.5972744,653,108.8333333,139.3608247,0.220766578,0.294924853,0.284047351,0,0.282691079,5.437558541,291.1716796,0,184.5972744,0.5,293.7550904,1
ARCA1tta4rF,Rwanda,Malaria,Auto ARIMA,2024-03,2241.151023,258.787668,685,114.1666667,138.1734694,0.312153109,0.386223824,0.539514688,0,0.377792216,5.7353674,368.2992415,0,258.787668,0.5,272.508768,1
ARCA1tta4rF,Rwanda,Malaria,Auto ARIMA,2024-04,1057.439797,211.8200068,713,118.8333333,137.3737374,0.256987508,0.316650228,0.2854488,0,0.297082758,5.80604308,297.4964437,0,211.8200068,0.666666667,315.5989706,1
ARCA1tta4rF,Rwanda,Malaria,Auto ARIMA,2024-05,1755.682986,228.5275128,711,118.5,136.47,0.279093711,0.313650649,0.328279703,0,0.321417036,5.423520617,304.0747587,0,228.5275128,0.333333333,264.0450136,1
ARCA1tta4rF,Rwanda,Malaria,Auto ARIMA,2024-06,5157.536663,343.9349233,859,143.1666667,135.2772277,0.423740848,0.421018075,0.490433727,0,0.400389899,5.653064107,342.9056863,0,343.9349233,0.166666667,221.4757076,1
ARCA1tta4rF,Rwanda,Malaria,Auto ARIMA,2024-07,11053.97247,596.0780702,982,163.6666667,134.2254902,0.740145146,0.56787475,0.834784102,0,0.607004145,5.346956266,386.5769173,0,596.0780702,0,167.6481998,1
BtzzCdcgFli,Rwanda,Malaria,Auto ARIMA,2024-01,318735.6743,3692.692618,7782,1297,1819.53125,0.338245782,0.495307383,0.415321722,0,0.47451717,5.373804391,3193.039459,0,3692.692618,0.833333333,3916.636245,1
BtzzCdcgFli,Rwanda,Malaria,Auto ARIMA,2024-02,629229.3324,4599.226799,6584,1097.333333,1802.474227,0.42526977,0.774835415,0.515623924,0,0.69854599,5.571122812,2930.169822,0,4599.226799,1,4930.259119,1
BtzzCdcgFli,Rwanda,Malaria,Auto ARIMA,2024-03,430469.9575,3625.598612,6041,1006.833333,1786.673469,0.338207538,0.63999406,0.450976935,0,0.600165306,5.512445734,3085.515291,0,3625.598612,1,4481.337162,1
BtzzCdcgFli,Rwanda,Malaria,Auto ARIMA,2024-04,318885.752,2939.68979,6031,1005.166667,1776.727273,0.275758866,0.540575909,0.402257334,0,0.487429911,5.425417004,3226.426661,0,2939.68979,0.833333333,4212.112749,1
BtzzCdcgFli,Rwanda,Malaria,Auto ARIMA,2024-05,683346.6228,4758.575415,5951,991.8333333,1765.1,0.449320663,0.837549836,0.571108364,0,0.799626183,4.981261092,2432.05812,0,4758.575415,1,4395.149299,1
BtzzCdcgFli,Rwanda,Malaria,Auto ARIMA,2024-06,372722.1846,3728.678929,6546,1091,1757.871287,0.353522179,0.70398858,0.451736781,0,0.569611813,5.277598052,3158.484414,0,3728.678929,0.833333333,4433.278605,1
BtzzCdcgFli,Rwanda,Malaria,Auto ARIMA,2024-07,201450.355,2028.141239,6894,1149,1760.117647,0.192045992,0.339192101,0.289033996,0,0.29418933,5.342078969,3376.999936,0,2028.141239,0.5,3989.522648,1
DG8h5ijGxgO,Rwanda,Malaria,Auto ARIMA,2024-01,873607.9132,4982.460741,4203,700.5,1664.614583,0.498860296,1.587047877,0.770687197,0,1.185453424,4.445536052,1879.033119,0,4982.460741,0.833333333,3587.624152,1
DG8h5ijGxgO,Rwanda,Malaria,Auto ARIMA,2024-02,591279.0624,4615.802245,3865,644.1666667,1654.57732,0.46495281,1.176775972,0.734892074,0,1.194256726,4.378051468,1883.278624,0,4615.802245,1,3697.190576,1
DG8h5ijGxgO,Rwanda,Malaria,Auto ARIMA,2024-03,328268.0886,3219.652586,4186,697.6666667,1645.346939,0.326137152,0.862683635,0.585066052,0,0.769147775,4.275456387,2091.451667,0,3219.652586,1,3437.500462,1
DG8h5ijGxgO,Rwanda,Malaria,Auto ARIMA,2024-04,221004.4798,2578.799708,4948,824.6666667,1636.333333,0.26266039,0.492078452,0.380348349,0,0.521180216,4.250012344,2115.854576,0,2578.799708,1,3187.783261,1
DG8h5ijGxgO,Rwanda,Malaria,Auto ARIMA,2024-05,82964.92435,2166.511887,6166,1027.666667,1629.88,0.221541043,0.348266603,0.293393178,0,0.351364237,4.152882945,2278.814003,0,2166.511887,0.666666667,2884.23216,1
DG8h5ijGxgO,Rwanda,Malaria,Auto ARIMA,2024-06,96958.22308,1449.865517,7320,1220,1620.227723,0.149142154,0.205043287,0.218781351,0,0.19806906,4.073379899,2764.544581,0,1449.865517,0.333333333,2670.223757,1
DG8h5ijGxgO,Rwanda,Malaria,Auto ARIMA,2024-07,167574.9895,2257.788702,8013,1335.5,1611.107843,0.233564822,0.269487417,0.321363435,0,0.281765718,4.501920943,3094.476435,0,2257.788702,0,2315.448804,1
DJKWdcLdPOI,Rwanda,Malaria,Auto ARIMA,2024-01,441603.6242,2611.998482,7028,1171.333333,3444.3125,0.126391865,0.333242719,0.38669546,0,0.371656016,4.769251672,6777.99859,0,2611.998482,0.5,5918.489004,1
DJKWdcLdPOI,Rwanda,Malaria,Auto ARIMA,2024-02,318268.4611,2437.139229,6046,1007.666667,3418.237113,0.118830221,0.560667095,0.341471709,0,0.403099443,4.764289706,5723.766451,0,2437.139229,1,6919.70164,1
DJKWdcLdPOI,Rwanda,Malaria,Auto ARIMA,2024-03,374758.3245,4457.297631,5872,978.6666667,3384.5,0.219495624,0.785008347,0.891380108,0,0.759076572,5.189566204,6532.654417,0,4457.297631,0.333333333,6373.420653,1
DJKWdcLdPOI,Rwanda,Malaria,Auto ARIMA,2024-04,463886.7599,3305.007575,6486,1081,3354.40404,0.164212358,0.541405343,0.794698858,0,0.509560218,4.818814412,6321.966551,0,3305.007575,0.333333333,5585.448218,1
DJKWdcLdPOI,Rwanda,Malaria,Auto ARIMA,2024-05,524755.0209,4415.240738,7971,1328.5,3321.43,0.221553203,0.500100549,0.735821376,0,0.553913027,4.873733419,6870.698201,0,4415.240738,0.166666667,5954.771612,1
DJKWdcLdPOI,Rwanda,Malaria,Auto ARIMA,2024-06,1669555.587,6007.582847,9936,1656,3289.049505,0.304423453,0.506456148,0.742914315,0,0.604627903,4.8641273,6608.081589,0,6007.582847,0.166666667,5240.705062,1
DJKWdcLdPOI,Rwanda,Malaria,Auto ARIMA,2024-07,1268998.642,4418.045006,10870,1811.666667,3260.029412,0.225869384,0.373996276,0.476083184,0,0.406443883,4.826355502,7403.62615,0,4418.045006,0.333333333,4939.588063,1
ERRCgvW7La1,Rwanda,Malaria,Auto ARIMA,2024-01,1677942.879,7898.435699,745,124.1666667,10201.76042,0.129037136,11.79108182,1.727902101,0,10.60192711,5.69730692,22065.8446,0,7898.435699,0.5,22279.49567,1
ERRCgvW7La1,Rwanda,Malaria,Auto ARIMA,2024-02,3148969.888,13747.79481,757,126.1666667,10097.15464,0.22692523,21.02418394,1.752047173,0,18.16089142,6.009316238,21139.03095,0,13747.79481,1,24672.44773,1
ERRCgvW7La1,Rwanda,Malaria,Auto ARIMA,2024-03,1485869.428,10867.79948,941,156.8333333,9994.826531,0.181223747,12.20482689,1.856260281,0,11.54920242,5.777541506,21070.44283,0,10867.79948,0.5,21366.7295,1
ERRCgvW7La1,Rwanda,Malaria,Auto ARIMA,2024-04,4682429.244,8391.070801,1225,204.1666667,9894.757576,0.141338662,6.366704711,1.667003886,0,6.849853715,5.460258849,22047.03763,0,8391.070801,0.5,21134.62557,1
ERRCgvW7La1,Rwanda,Malaria,Auto ARIMA,2024-05,4953437.04,7758.282119,1467,244.5,9796.35,0.131992734,4.682009418,1.582375562,0,5.288535869,5.555896297,20687.40737,0,7758.282119,0.5,20662.66767,1
ERRCgvW7La1,Rwanda,Malaria,Auto ARIMA,2024-06,1899765.084,8008.205052,2865,477.5,9699.39604,0.137606593,4.012470983,1.590105887,0,2.795185009,6.109829832,22755.27555,0,8008.205052,0.333333333,20893.58943,1
ERRCgvW7La1,Rwanda,Malaria,Auto ARIMA,2024-07,4970877.453,10093.67174,4036,672.6666667,9604.480392,0.17515561,2.582278435,1.307643397,0,2.500909748,5.993735043,21435.37762,0,10093.67174,0.5,20746.57129,1
M6o8DrKq6P3,Rwanda,Malaria,Auto ARIMA,2024-01,1429789.446,5979.745625,7613,1268.833333,4105.708333,0.242741128,0.801257799,1.378705851,0,0.785465076,4.45525848,8737.782435,0,5979.745625,0,5654.137102,1
M6o8DrKq6P3,Rwanda,Malaria,Auto ARIMA,2024-02,1280351.138,6017.344349,7265,1210.833333,4070.762887,0.246364319,0.76702586,1.130330028,0,0.828264879,4.023399724,7440.492389,0,6017.344349,0.333333333,5427.905571,1
M6o8DrKq6P3,Rwanda,Malaria,Auto ARIMA,2024-03,1343925.466,7001.910719,7394,1232.333333,4032.704082,0.289380301,0.944618227,1.428884493,0,0.946971966,4.071828964,7422.506562,0,7001.910719,0,5198.438866,1
M6o8DrKq6P3,Rwanda,Malaria,Auto ARIMA,2024-04,471229.2475,3881.037614,7733,1288.833333,3994.828283,0.161919251,0.513207991,0.755049518,0,0.501879945,4.240549164,7437.184941,0,3881.037614,0,5946.744898,1
M6o8DrKq6P3,Rwanda,Malaria,Auto ARIMA,2024-05,833751.4211,4736.545469,8589,1431.5,3961.98,0.199249932,0.581657199,0.877712579,0,0.551466465,4.258600331,7217.336173,0,4736.545469,0,5686.985374,1
M6o8DrKq6P3,Rwanda,Malaria,Auto ARIMA,2024-06,2541435.697,8959.495482,10747,1791.166667,3930.752475,0.379888903,0.761833337,1.278584877,0,0.833674093,4.279976722,8022.505674,0,8959.495482,0.166666667,5606.00564,1
