item_id,model,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
Bokeo,ARIMA Madagaskar,2012-07,138.9465982,52.69468159,114,19,12.1969697,0.72005155,0.395125126,0.553335709,0,0.462234049,7.708804019,46.36674086,0,52.69468159,0.166666667,24.34041672,1
Bokeo,ARIMA Madagaskar,2012-08,76.37325725,42.91969554,105,17.5,12.18796992,0.586913377,0.420348117,0.479756791,0,0.408759005,8.035891952,42.25488484,0,42.91969554,0.333333333,33.89860549,1
Bokeo,ARIMA Madagaskar,2012-09,101.3320577,50.23139026,96,16,12.14925373,0.689087458,0.468851794,0.635262528,0,0.523243649,6.929573678,42.5832157,0,50.23139026,0.333333333,24.16262828,1
Bokeo,ARIMA Madagaskar,2012-10,12.64423105,14.88176255,78,13,12.19259259,0.20342628,0.252211145,0.215746108,0,0.190791828,7.879820789,36.48313965,0,14.88176255,0.666666667,39.31989396,1
Bokeo,ARIMA Madagaskar,2012-11,22.70670984,25.16059066,65,10.83333333,12.23529412,0.342732405,0.431374505,0.382820287,0,0.38708601,7.819515971,35.23425659,0,25.16059066,0.5,40.26612698,1
Bokeo,ARIMA Madagaskar,2012-12,128.9852006,43.27811522,81,13.5,12.23357664,0.589608372,0.419983859,0.468895329,0,0.534297719,7.341302865,40.27427989,0,43.27811522,0.5,32.1834017,1
Bokeo,ARIMA Madagaskar,2013-01,1610.681396,135.4056234,181,30.16666667,12.18115942,1.852664687,0.492537158,0.729073621,0,0.748097367,28.50244733,61.47134553,0,135.4056234,0.166666667,127.0259254,0.833333333
Champasak,ARIMA Madagaskar,2012-07,15550.19335,632.0879817,1259,209.8333333,78.67213115,1.339076435,0.430839823,0.603441475,0,0.502055585,4.459559393,255.3243547,0,632.0879817,0.166666667,281.3894247,0.666666667
Champasak,ARIMA Madagaskar,2012-08,9062.945415,419.4229885,1159,193.1666667,79.05691057,0.884221644,0.304703112,0.370479972,0,0.36188351,5.715177116,215.3177593,0,419.4229885,0.166666667,218.6350473,0.666666667
Champasak,ARIMA Madagaskar,2012-09,8652.949212,419.9026174,1051,175.1666667,79.11290323,0.884606262,0.331144476,0.385058339,0,0.399526753,5.116871828,203.3765426,0,419.9026174,0.333333333,248.6315954,0.666666667
Champasak,ARIMA Madagaskar,2012-10,1520.537493,188.7888083,850,141.6666667,80.096,0.392838611,0.257184004,0.225683356,0,0.22210448,4.617454733,122.2835685,0,188.7888083,0.833333333,147.1430083,1
Champasak,ARIMA Madagaskar,2012-11,5261.177792,406.996606,710,118.3333333,81.01587302,0.837277501,0.611046757,0.489427572,0,0.573234656,4.511678792,134.4411003,0.166666667,406.996606,0.833333333,175.7421113,1
Champasak,ARIMA Madagaskar,2012-12,14537.139,471.9363044,892,148.6666667,81.42519685,0.965991533,0.39779651,0.488342511,0,0.529076574,8.634083719,189.1548014,0,471.9363044,0.333333333,376.4693008,0.833333333
Champasak,ARIMA Madagaskar,2013-01,217191.2586,1626.833212,1996,332.6666667,81.2578125,3.336772924,0.645086086,0.993973783,0,0.815046699,84.8173168,468.0411458,0,1626.833212,0,2054.655053,0.666666667
LouangNamtha,ARIMA Madagaskar,2012-07,0.838601764,3.25600763,18,3,2.159090909,0.25134094,0.370288062,0.23414511,0,0.180889313,7.965065889,7.284681361,0,3.25600763,0.5,6.331636451,1
LouangNamtha,ARIMA Madagaskar,2012-08,1.808628821,7.62794162,16,2.666666667,2.157894737,0.589149963,0.814154112,0.526757355,0,0.476746351,7.864321045,6.417146458,0,7.62794162,0.333333333,6.908777475,1
LouangNamtha,ARIMA Madagaskar,2012-09,2.559988896,10.53410788,14,2.333333333,2.156716418,0.814054473,1.152499172,0.754371999,0,0.752436277,7.409385827,6.28344033,0,10.53410788,0.5,6.6066171,1
