"time_period","org_unit","product","disease_cases","year","rainfall","mean_temperature","population","location"
"2019-02","0105 Naxaythong","Artesunate 60 mg",0,2019,10.8303571428571,26.6321428571429,86205,"0105 Naxaythong-Artesunate 60 mg"
"2019-03","0105 Naxaythong","Artesunate 60 mg",0,2019,7.93903225806452,28.5032258064516,86205,"0105 Naxaythong-Artesunate 60 mg"
"2019-04","0105 Naxaythong","Artesunate 60 mg",0,2019,12.623,30.85,86205,"0105 Naxaythong-Artesunate 60 mg"
"2019-05","0105 Naxaythong","Artesunate 60 mg",0,2019,56.2387096774194,28.6548387096774,86205,"0105 Naxaythong-Artesunate 60 mg"
"2019-06","0105 Naxaythong","Artesunate 60 mg",0,2019,80.113,27.7733333333333,86205,"0105 Naxaythong-Artesunate 60 mg"
"2019-07","0105 Naxaythong","Artesunate 60 mg",0,2019,58.8748387096774,27.4225806451613,86205,"0105 Naxaythong-Artesunate 60 mg"
"2019-08","0105 Naxaythong","Artesunate 60 mg",0,2019,147.54935483871,26.1032258064516,86205,"0105 Naxaythong-Artesunate 60 mg"
"2019-09","0105 Naxaythong","Artesunate 60 mg",0,2019,51.1546666666667,27.0266666666667,86205,"0105 Naxaythong-Artesunate 60 mg"
"2019-10","0105 Naxaythong","Artesunate 60 mg",0,2019,9.55741935483871,27.6032258064516,86205,"0105 Naxaythong-Artesunate 60 mg"
"2019-11","0105 Naxaythong","Artesunate 60 mg",0,2019,3.38166666666667,25.36,86205,"0105 Naxaythong-Artesunate 60 mg"
"2019-12","0105 Naxaythong","Artesunate 60 mg",0,2019,0.189333333333333,22.4633333333333,86205,"0105 Naxaythong-Artesunate 60 mg"
"2020-01","0105 Naxaythong","Artesunate 60 mg",0,2020,0.340967741935484,24.7548387096774,88296,"0105 Naxaythong-Artesunate 60 mg"
"2020-02","0105 Naxaythong","Artesunate 60 mg",0,2020,1.96724137931034,24.7172413793103,88296,"0105 Naxaythong-Artesunate 60 mg"
"2020-03","0105 Naxaythong","Artesunate 60 mg",0,2020,14.3567741935484,27.4741935483871,88296,"0105 Naxaythong-Artesunate 60 mg"
"2020-04","0105 Naxaythong","Artesunate 60 mg",0,2020,20.2896666666667,28.7666666666667,88296,"0105 Naxaythong-Artesunate 60 mg"
"2020-05","0105 Naxaythong","Artesunate 60 mg",0,2020,48.6996774193548,30.4387096774194,88296,"0105 Naxaythong-Artesunate 60 mg"
"2020-06","0105 Naxaythong","Artesunate 60 mg",5,2020,63.806,27.5133333333333,88296,"0105 Naxaythong-Artesunate 60 mg"
"2020-07","0105 Naxaythong","Artesunate 60 mg",0,2020,97.6616129032258,27.6483870967742,88296,"0105 Naxaythong-Artesunate 60 mg"
"2020-08","0105 Naxaythong","Artesunate 60 mg",5,2020,136.881612903226,26.3225806451613,88296,"0105 Naxaythong-Artesunate 60 mg"
"2020-09","0105 Naxaythong","Artesunate 60 mg",0,2020,88.0386666666667,27.0633333333333,88296,"0105 Naxaythong-Artesunate 60 mg"
"2020-10","0105 Naxaythong","Artesunate 60 mg",0,2020,40.6974193548387,24.941935483871,88296,"0105 Naxaythong-Artesunate 60 mg"
"2020-11","0105 Naxaythong","Artesunate 60 mg",0,2020,6.037,24.7466666666667,88296,"0105 Naxaythong-Artesunate 60 mg"
"2020-12","0105 Naxaythong","Artesunate 60 mg",0,2020,0.36258064516129,21.5774193548387,88296,"0105 Naxaythong-Artesunate 60 mg"
"2021-01","0105 Naxaythong","Artesunate 60 mg",0,2021,0.723548387096774,21.0451612903226,90355,"0105 Naxaythong-Artesunate 60 mg"
"2021-02","0105 Naxaythong","Artesunate 60 mg",0,2021,5.59178571428571,24.2821428571429,90355,"0105 Naxaythong-Artesunate 60 mg"
"2021-03","0105 Naxaythong","Artesunate 60 mg",0,2021,17.6103225806452,28.2161290322581,90355,"0105 Naxaythong-Artesunate 60 mg"
"2021-04","0105 Naxaythong","Artesunate 60 mg",0,2021,37.6123333333333,27.5,90355,"0105 Naxaythong-Artesunate 60 mg"
"2021-05","0105 Naxaythong","Artesunate 60 mg",0,2021,36.568064516129,29.3161290322581,90355,"0105 Naxaythong-Artesunate 60 mg"
"2021-06","0105 Naxaythong","Artesunate 60 mg",0,2021,102.563333333333,27.44,90355,"0105 Naxaythong-Artesunate 60 mg"
"2019-02","0105 Naxaythong","Coartem [6x1 tablets]",0,2019,10.8303571428571,26.6321428571429,86205,"0105 Naxaythong-Coartem [6x1 tablets]"
"2019-03","0105 Naxaythong","Coartem [6x1 tablets]",0,2019,7.93903225806452,28.5032258064516,86205,"0105 Naxaythong-Coartem [6x1 tablets]"
"2019-04","0105 Naxaythong","Coartem [6x1 tablets]",0,2019,12.623,30.85,86205,"0105 Naxaythong-Coartem [6x1 tablets]"
"2019-05","0105 Naxaythong","Coartem [6x1 tablets]",0,2019,56.2387096774194,28.6548387096774,86205,"0105 Naxaythong-Coartem [6x1 tablets]"
"2019-06","0105 Naxaythong","Coartem [6x1 tablets]",0,2019,80.113,27.7733333333333,86205,"0105 Naxaythong-Coartem [6x1 tablets]"
"2019-07","0105 Naxaythong","Coartem [6x1 tablets]",0,2019,58.8748387096774,27.4225806451613,86205,"0105 Naxaythong-Coartem [6x1 tablets]"
"2019-08","0105 Naxaythong","Coartem [6x1 tablets]",0,2019,147.54935483871,26.1032258064516,86205,"0105 Naxaythong-Coartem [6x1 tablets]"
"2019-09","0105 Naxaythong","Coartem [6x1 tablets]",0,2019,51.1546666666667,27.0266666666667,86205,"0105 Naxaythong-Coartem [6x1 tablets]"
"2019-10","0105 Naxaythong","Coartem [6x1 tablets]",0,2019,9.55741935483871,27.6032258064516,86205,"0105 Naxaythong-Coartem [6x1 tablets]"
"2019-11","0105 Naxaythong","Coartem [6x1 tablets]",0,2019,3.38166666666667,25.36,86205,"0105 Naxaythong-Coartem [6x1 tablets]"
"2019-12","0105 Naxaythong","Coartem [6x1 tablets]",0,2019,0.189333333333333,22.4633333333333,86205,"0105 Naxaythong-Coartem [6x1 tablets]"
"2020-01","0105 Naxaythong","Coartem [6x1 tablets]",5,2020,0.340967741935484,24.7548387096774,88296,"0105 Naxaythong-Coartem [6x1 tablets]"
"2020-02","0105 Naxaythong","Coartem [6x1 tablets]",0,2020,1.96724137931034,24.7172413793103,88296,"0105 Naxaythong-Coartem [6x1 tablets]"
"2020-03","0105 Naxaythong","Coartem [6x1 tablets]",0,2020,14.3567741935484,27.4741935483871,88296,"0105 Naxaythong-Coartem [6x1 tablets]"
"2020-04","0105 Naxaythong","Coartem [6x1 tablets]",0,2020,20.2896666666667,28.7666666666667,88296,"0105 Naxaythong-Coartem [6x1 tablets]"
"2020-05","0105 Naxaythong","Coartem [6x1 tablets]",0,2020,48.6996774193548,30.4387096774194,88296,"0105 Naxaythong-Coartem [6x1 tablets]"
"2020-06","0105 Naxaythong","Coartem [6x1 tablets]",1,2020,63.806,27.5133333333333,88296,"0105 Naxaythong-Coartem [6x1 tablets]"
"2020-07","0105 Naxaythong","Coartem [6x1 tablets]",0,2020,97.6616129032258,27.6483870967742,88296,"0105 Naxaythong-Coartem [6x1 tablets]"
"2020-08","0105 Naxaythong","Coartem [6x1 tablets]",0,2020,136.881612903226,26.3225806451613,88296,"0105 Naxaythong-Coartem [6x1 tablets]"
"2020-09","0105 Naxaythong","Coartem [6x1 tablets]",0,2020,88.0386666666667,27.0633333333333,88296,"0105 Naxaythong-Coartem [6x1 tablets]"
"2020-10","0105 Naxaythong","Coartem [6x1 tablets]",0,2020,40.6974193548387,24.941935483871,88296,"0105 Naxaythong-Coartem [6x1 tablets]"
"2020-11","0105 Naxaythong","Coartem [6x1 tablets]",0,2020,6.037,24.7466666666667,88296,"0105 Naxaythong-Coartem [6x1 tablets]"
"2020-12","0105 Naxaythong","Coartem [6x1 tablets]",0,2020,0.36258064516129,21.5774193548387,88296,"0105 Naxaythong-Coartem [6x1 tablets]"
