,time_period,rainfall,mean_temperature,population,parent,location,E,month,ID_year,ID_spat
0,2017-07,15.245,24.52,733678.522672603,-,Acre,733678.522672603,7,2017,Acre
1,2017-08,74.9,26.33,733678.522672603,-,Acre,733678.522672603,8,2017,Acre
2,2017-09,118.748,26.23,733678.522672603,-,Acre,733678.522672603,9,2017,Acre
3,2017-10,157.263,26.07,733678.522672603,-,Acre,733678.522672603,10,2017,Acre
4,2017-11,240.784,25.38,733678.522672603,-,Acre,733678.522672603,11,2017,Acre
5,2017-12,257.475,25.51,733678.522672603,-,Acre,733678.522672603,12,2017,Acre
0,2017-07,164.596,21.7,1939232.32925536,-,Alagoas,1939232.32925536,7,2017,Alagoas
1,2017-08,76.005,22.3,1939232.32925536,-,Alagoas,1939232.32925536,8,2017,Alagoas
2,2017-09,82.739,22.52,1939232.32925536,-,Alagoas,1939232.32925536,9,2017,Alagoas
3,2017-10,44.98,24.19,1939232.32925536,-,Alagoas,1939232.32925536,10,2017,Alagoas
4,2017-11,18.853,25.91,1939232.32925536,-,Alagoas,1939232.32925536,11,2017,Alagoas
5,2017-12,24.725,26.77,1939232.32925536,-,Alagoas,1939232.32925536,12,2017,Alagoas
0,2017-07,0.028,24.35,482707.739091826,-,Amapa,482707.739091826,7,2017,Amapa
1,2017-08,12.752,27.67,482707.739091826,-,Amapa,482707.739091826,8,2017,Amapa
2,2017-09,18.662,29.01,482707.739091826,-,Amapa,482707.739091826,9,2017,Amapa
3,2017-10,110.217,27.62,482707.739091826,-,Amapa,482707.739091826,10,2017,Amapa
4,2017-11,225.016,25.69,482707.739091826,-,Amapa,482707.739091826,11,2017,Amapa
5,2017-12,295.258,25.26,482707.739091826,-,Amapa,482707.739091826,12,2017,Amapa
0,2017-07,7.642,18.25,3922237.75063418,-,Amazonas,3922237.75063418,7,2017,Amazonas
1,2017-08,6.52,20.87,3922237.75063418,-,Amazonas,3922237.75063418,8,2017,Amazonas
2,2017-09,12.517,22.17,3922237.75063418,-,Amazonas,3922237.75063418,9,2017,Amazonas
3,2017-10,53.78,24.97,3922237.75063418,-,Amazonas,3922237.75063418,10,2017,Amazonas
4,2017-11,177.559,22.75,3922237.75063418,-,Amazonas,3922237.75063418,11,2017,Amazonas
5,2017-12,220.522,23.29,3922237.75063418,-,Amazonas,3922237.75063418,12,2017,Amazonas
0,2017-07,48.102,26.68,14966698.5655249,-,Bahia,14966698.5655249,7,2017,Bahia
1,2017-08,16.768,28.25,14966698.5655249,-,Bahia,14966698.5655249,8,2017,Bahia
2,2017-09,36.57,28.7,14966698.5655249,-,Bahia,14966698.5655249,9,2017,Bahia
3,2017-10,86.293,27.93,14966698.5655249,-,Bahia,14966698.5655249,10,2017,Bahia
4,2017-11,105.892,27.32,14966698.5655249,-,Bahia,14966698.5655249,11,2017,Bahia
5,2017-12,234.695,26.06,14966698.5655249,-,Bahia,14966698.5655249,12,2017,Bahia
0,2017-07,74.19,22.73,8433243.93239153,-,Ceara,8433243.93239153,7,2017,Ceara
1,2017-08,10.946,24.46,8433243.93239153,-,Ceara,8433243.93239153,8,2017,Ceara
2,2017-09,12.884,24.69,8433243.93239153,-,Ceara,8433243.93239153,9,2017,Ceara
3,2017-10,11.828,26.09,8433243.93239153,-,Ceara,8433243.93239153,10,2017,Ceara
4,2017-11,6.715,26.86,8433243.93239153,-,Ceara,8433243.93239153,11,2017,Ceara
5,2017-12,13.422,27.29,8433243.93239153,-,Ceara,8433243.93239153,12,2017,Ceara
0,2017-07,7.607,15.52,13162712.8505577,-,DistritoFederal,13162712.8505577,7,2017,DistritoFederal
1,2017-08,97.939,17.81,13162712.8505577,-,DistritoFederal,13162712.8505577,8,2017,DistritoFederal
2,2017-09,36.487,22.49,13162712.8505577,-,DistritoFederal,13162712.8505577,9,2017,DistritoFederal
3,2017-10,221.75,20.83,13162712.8505577,-,DistritoFederal,13162712.8505577,10,2017,DistritoFederal
4,2017-11,150.148,20.88,13162712.8505577,-,DistritoFederal,13162712.8505577,11,2017,DistritoFederal
5,2017-12,251.288,22.75,13162712.8505577,-,DistritoFederal,13162712.8505577,12,2017,DistritoFederal
