,time_period,rainfall,mean_temperature,disease_cases,population,parent,location,Cases,E,month,ID_year,ID_spat
0,2012-03,139.155,26.93,0.0,12080.2325874919,-,AltoParaguay,0.0,12080.2325874919,3,2012,AltoParaguay
1,2012-04,173.667,25.26,1.0,12080.2325874919,-,AltoParaguay,1.0,12080.2325874919,4,2012,AltoParaguay
2,2012-05,137.261,22.85,0.0,12080.2325874919,-,AltoParaguay,0.0,12080.2325874919,5,2012,AltoParaguay
3,2012-06,53.056,20.79,0.0,12080.2325874919,-,AltoParaguay,0.0,12080.2325874919,6,2012,AltoParaguay
4,2012-07,20.23,19.7,6.0,12080.2325874919,-,AltoParaguay,6.0,12080.2325874919,7,2012,AltoParaguay
5,2012-08,4.227,24.99,0.0,12080.2325874919,-,AltoParaguay,0.0,12080.2325874919,8,2012,AltoParaguay
6,2012-09,47.526,27.72,1.0,12080.2325874919,-,AltoParaguay,1.0,12080.2325874919,9,2012,AltoParaguay
7,2012-10,68.548,29.66,0.0,12080.2325874919,-,AltoParaguay,0.0,12080.2325874919,10,2012,AltoParaguay
8,2012-11,198.453,27.44,0.0,12080.2325874919,-,AltoParaguay,0.0,12080.2325874919,11,2012,AltoParaguay
9,2012-12,64.976,29.61,0.0,12080.2325874919,-,AltoParaguay,0.0,12080.2325874919,12,2012,AltoParaguay
10,2013-01,82.103,30.12,7.0,12245.7667618455,-,AltoParaguay,7.0,12245.7667618455,1,2013,AltoParaguay
11,2013-02,108.674,29.24,1.0,12245.7667618455,-,AltoParaguay,1.0,12245.7667618455,2,2013,AltoParaguay
12,2013-03,60.653,27.95,8.0,12245.7667618455,-,AltoParaguay,8.0,12245.7667618455,3,2013,AltoParaguay
13,2013-04,76.448,25.32,3.0,12245.7667618455,-,AltoParaguay,3.0,12245.7667618455,4,2013,AltoParaguay
14,2013-05,71.778,23.74,0.0,12245.7667618455,-,AltoParaguay,0.0,12245.7667618455,5,2013,AltoParaguay
15,2013-06,114.34,21.47,38.0,12245.7667618455,-,AltoParaguay,38.0,12245.7667618455,6,2013,AltoParaguay
16,2013-07,18.641,20.84,0.0,12245.7667618455,-,AltoParaguay,0.0,12245.7667618455,7,2013,AltoParaguay
17,2013-08,9.246,21.25,0.0,12245.7667618455,-,AltoParaguay,0.0,12245.7667618455,8,2013,AltoParaguay
18,2013-09,26.263,25.34,0.0,12245.7667618455,-,AltoParaguay,0.0,12245.7667618455,9,2013,AltoParaguay
19,2013-10,166.581,25.91,0.0,12245.7667618455,-,AltoParaguay,0.0,12245.7667618455,10,2013,AltoParaguay
20,2013-11,96.233,27.69,0.0,12245.7667618455,-,AltoParaguay,0.0,12245.7667618455,11,2013,AltoParaguay
21,2013-12,131.424,29.79,0.0,12245.7667618455,-,AltoParaguay,0.0,12245.7667618455,12,2013,AltoParaguay
22,2014-01,160.549,27.47,0.0,12415.0630765254,-,AltoParaguay,0.0,12415.0630765254,1,2014,AltoParaguay
23,2014-02,67.449,28.03,0.0,12415.0630765254,-,AltoParaguay,0.0,12415.0630765254,2,2014,AltoParaguay
24,2014-03,218.448,26.15,11.0,12415.0630765254,-,AltoParaguay,11.0,12415.0630765254,3,2014,AltoParaguay
25,2014-04,64.389,26.09,243.0,12415.0630765254,-,AltoParaguay,243.0,12415.0630765254,4,2014,AltoParaguay
26,2014-05,174.232,22.14,323.0,12415.0630765254,-,AltoParaguay,323.0,12415.0630765254,5,2014,AltoParaguay
27,2014-06,76.94,21.32,103.0,12415.0630765254,-,AltoParaguay,103.0,12415.0630765254,6,2014,AltoParaguay
28,2014-07,81.707,20.73,59.0,12415.0630765254,-,AltoParaguay,59.0,12415.0630765254,7,2014,AltoParaguay
29,2014-08,14.823,24.32,49.0,12415.0630765254,-,AltoParaguay,49.0,12415.0630765254,8,2014,AltoParaguay
30,2014-09,45.248,28.43,252.0,12415.0630765254,-,AltoParaguay,252.0,12415.0630765254,9,2014,AltoParaguay
31,2014-10,53.065,30.29,369.0,12415.0630765254,-,AltoParaguay,369.0,12415.0630765254,10,2014,AltoParaguay
32,2014-11,154.895,27.54,654.0,12415.0630765254,-,AltoParaguay,654.0,12415.0630765254,11,2014,AltoParaguay
33,2014-12,104.799,28.06,63.0,12415.0630765254,-,AltoParaguay,63.0,12415.0630765254,12,2014,AltoParaguay
34,2015-01,78.818,30.06,0.0,12582.4783210422,-,AltoParaguay,0.0,12582.4783210422,1,2015,AltoParaguay
35,2015-02,160.678,28.77,0.0,12582.4783210422,-,AltoParaguay,0.0,12582.4783210422,2,2015,AltoParaguay
36,2015-03,120.909,27.89,0.0,12582.4783210422,-,AltoParaguay,0.0,12582.4783210422,3,2015,AltoParaguay
37,2015-04,108.517,26.08,0.0,12582.4783210422,-,AltoParaguay,0.0,12582.4783210422,4,2015,AltoParaguay
38,2015-05,136.831,22.96,0.0,12582.4783210422,-,AltoParaguay,0.0,12582.4783210422,5,2015,AltoParaguay
39,2015-06,31.316,22.93,0.0,12582.4783210422,-,AltoParaguay,0.0,12582.4783210422,6,2015,AltoParaguay
40,2015-07,71.085,21.0,0.0,12582.4783210422,-,AltoParaguay,0.0,12582.4783210422,7,2015,AltoParaguay
41,2015-08,18.537,26.49,0.0,12582.4783210422,-,AltoParaguay,0.0,12582.4783210422,8,2015,AltoParaguay
