"time_period","store","org_unit","product","rainfall","mean_temperature","population","disease_cases","location"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","AD syringe (0.5ml)",5.81,23.9928571428571,138807,1000,"kay_alisa-1301 Kaysone Phomvihane-AD syringe (0.5ml)"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","BCG diluent",5.81,23.9928571428571,138807,500,"kay_alisa-1301 Kaysone Phomvihane-BCG diluent"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","BCG syringe ( 0.05ml)",5.81,23.9928571428571,138807,50,"kay_alisa-1301 Kaysone Phomvihane-BCG syringe ( 0.05ml)"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","BCG vaccine",5.81,23.9928571428571,138807,500,"kay_alisa-1301 Kaysone Phomvihane-BCG vaccine"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","DTP-Hep B- Hib (Penta) vaccine",5.81,23.9928571428571,138807,223,"kay_alisa-1301 Kaysone Phomvihane-DTP-Hep B- Hib (Penta) vaccine"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","Flue vaccine",5.81,23.9928571428571,138807,0,"kay_alisa-1301 Kaysone Phomvihane-Flue vaccine"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","HPV vaccine",5.81,23.9928571428571,138807,0,"kay_alisa-1301 Kaysone Phomvihane-HPV vaccine"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","Hep B vaccine",5.81,23.9928571428571,138807,26,"kay_alisa-1301 Kaysone Phomvihane-Hep B vaccine"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","IPV vaccine",5.81,23.9928571428571,138807,50,"kay_alisa-1301 Kaysone Phomvihane-IPV vaccine"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","JE dilluent",5.81,23.9928571428571,138807,95,"kay_alisa-1301 Kaysone Phomvihane-JE dilluent"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","JE vaccine",5.81,23.9928571428571,138807,95,"kay_alisa-1301 Kaysone Phomvihane-JE vaccine"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","MR dilluent",5.81,23.9928571428571,138807,435,"kay_alisa-1301 Kaysone Phomvihane-MR dilluent"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","MR vaccine",5.81,23.9928571428571,138807,435,"kay_alisa-1301 Kaysone Phomvihane-MR vaccine"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","OPV vaccine",5.81,23.9928571428571,138807,820,"kay_alisa-1301 Kaysone Phomvihane-OPV vaccine"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","PCV13 vaccine",5.81,23.9928571428571,138807,220,"kay_alisa-1301 Kaysone Phomvihane-PCV13 vaccine"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","Reconsitute syringe BCG (2 ml)",5.81,23.9928571428571,138807,30,"kay_alisa-1301 Kaysone Phomvihane-Reconsitute syringe BCG (2 ml)"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","Reconsitute syringe MR (5ml)",5.81,23.9928571428571,138807,50,"kay_alisa-1301 Kaysone Phomvihane-Reconsitute syringe MR (5ml)"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","Rota vaccine",5.81,23.9928571428571,138807,0,"kay_alisa-1301 Kaysone Phomvihane-Rota vaccine"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","Safety Box",5.81,23.9928571428571,138807,0,"kay_alisa-1301 Kaysone Phomvihane-Safety Box"
"2021-02","kay_alisa","1301 Kaysone Phomvihane","Td vaccine",5.81,23.9928571428571,138807,640,"kay_alisa-1301 Kaysone Phomvihane-Td vaccine"
"2021-02","0701phonethip","0701 Xamnua","BCG diluent",8.865,16.4321428571429,62155,0,"0701phonethip-0701 Xamnua-BCG diluent"
"2021-02","0701phonethip","0701 Xamnua","BCG vaccine",8.865,16.4321428571429,62155,0,"0701phonethip-0701 Xamnua-BCG vaccine"
"2021-02","0701phonethip","0701 Xamnua","DTP-Hep B- Hib (Penta) vaccine",8.865,16.4321428571429,62155,3,"0701phonethip-0701 Xamnua-DTP-Hep B- Hib (Penta) vaccine"
"2021-02","0701phonethip","0701 Xamnua","Hep B vaccine",8.865,16.4321428571429,62155,2,"0701phonethip-0701 Xamnua-Hep B vaccine"
"2021-02","0701phonethip","0701 Xamnua","IPV vaccine",8.865,16.4321428571429,62155,0,"0701phonethip-0701 Xamnua-IPV vaccine"
"2021-02","0701phonethip","0701 Xamnua","JE dilluent",8.865,16.4321428571429,62155,0,"0701phonethip-0701 Xamnua-JE dilluent"
"2021-02","0701phonethip","0701 Xamnua","JE vaccine",8.865,16.4321428571429,62155,0,"0701phonethip-0701 Xamnua-JE vaccine"
"2021-02","0701phonethip","0701 Xamnua","MR dilluent",8.865,16.4321428571429,62155,0,"0701phonethip-0701 Xamnua-MR dilluent"
"2021-02","0701phonethip","0701 Xamnua","MR vaccine",8.865,16.4321428571429,62155,0,"0701phonethip-0701 Xamnua-MR vaccine"
"2021-02","0701phonethip","0701 Xamnua","OPV vaccine",8.865,16.4321428571429,62155,0,"0701phonethip-0701 Xamnua-OPV vaccine"
"2021-02","0701phonethip","0701 Xamnua","PCV13 vaccine",8.865,16.4321428571429,62155,0,"0701phonethip-0701 Xamnua-PCV13 vaccine"
"2021-02","houy_bounmy","0608 Phonxai","AD syringe (0.5ml)",6.96714285714286,18.6178571428571,36032,39,"houy_bounmy-0608 Phonxai-AD syringe (0.5ml)"
"2021-02","houy_bounmy","0608 Phonxai","BCG syringe ( 0.05ml)",6.96714285714286,18.6178571428571,36032,0,"houy_bounmy-0608 Phonxai-BCG syringe ( 0.05ml)"
"2021-02","houy_bounmy","0608 Phonxai","DTP-Hep B- Hib (Penta) vaccine",6.96714285714286,18.6178571428571,36032,11,"houy_bounmy-0608 Phonxai-DTP-Hep B- Hib (Penta) vaccine"
"2021-02","houy_bounmy","0608 Phonxai","HPV vaccine",6.96714285714286,18.6178571428571,36032,0,"houy_bounmy-0608 Phonxai-HPV vaccine"
"2021-02","houy_bounmy","0608 Phonxai","Hep B vaccine",6.96714285714286,18.6178571428571,36032,14,"houy_bounmy-0608 Phonxai-Hep B vaccine"
"2021-02","houy_bounmy","0608 Phonxai","IPV vaccine",6.96714285714286,18.6178571428571,36032,3,"houy_bounmy-0608 Phonxai-IPV vaccine"
"2021-02","houy_bounmy","0608 Phonxai","PCV13 vaccine",6.96714285714286,18.6178571428571,36032,11,"houy_bounmy-0608 Phonxai-PCV13 vaccine"
"2021-02","houy_bounmy","0608 Phonxai","Reconsitute syringe BCG (2 ml)",6.96714285714286,18.6178571428571,36032,0,"houy_bounmy-0608 Phonxai-Reconsitute syringe BCG (2 ml)"
"2021-02","houy_bounmy","0608 Phonxai","Reconsitute syringe MR (5ml)",6.96714285714286,18.6178571428571,36032,0,"houy_bounmy-0608 Phonxai-Reconsitute syringe MR (5ml)"
