item_id,country,case,model,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
Acre,Brazil,Dengue,Auto ARIMA,2017-01,333674.4593,2884.999071,1033,172.1666667,869.1235955,0.553239126,5.164116473,1.035647491,0,2.7928355,5.76873404,1441.314456,0,2884.999071,0.833333333,2574.014847,1
Acre,Brazil,Dengue,Auto ARIMA,2017-02,246664.8157,2605.059368,830,138.3333333,864.3631285,0.502308054,5.397709936,1.159569324,0,3.138625745,5.851089357,1397.722028,0,2605.059368,1,2594.229161,1
Acre,Brazil,Dengue,Auto ARIMA,2017-03,278015.3281,2627.332217,639,106.5,860.6388889,0.50879493,6.519972039,1.261731723,0,4.111631013,5.640652057,1550.981383,0,2627.332217,1,2573.149786,1
Acre,Brazil,Dengue,Auto ARIMA,2017-04,234924.8161,2669.082605,464,77.33333333,856.6685083,0.519275655,8.448809708,1.399391421,0,5.7523332,6.429673644,1536.644481,0,2669.082605,1,2686.502928,1
Acre,Brazil,Dengue,Auto ARIMA,2017-05,224495.1715,1990.176908,415,69.16666667,852.4120879,0.389126522,5.109916579,1.116915255,0,4.795607007,6.148255582,1547.944043,0,1990.176908,1,2548.82416,1
Acre,Brazil,Dengue,Auto ARIMA,2017-06,173895.3683,2427.152398,538,89.66666667,847.8907104,0.477096157,6.25930056,1.414154407,0,4.511435684,6.252872741,1591.161987,0,2427.152398,1,2413.256839,1
Acre,Brazil,Dengue,Auto ARIMA,2017-07,193122.1656,2881.838393,809,134.8333333,843.3097826,0.569549184,6.158420236,1.250971023,0,3.562222983,6.25196645,1559.026757,0,2881.838393,1,2496.861874,1
Alagoas,Brazil,Dengue,Auto ARIMA,2017-01,1876723.867,8323.799564,1995,332.5,2205.589888,0.628992695,4.162145739,1.333510004,0,4.172330608,4.857634837,2615.590609,0,8323.799564,1,5588.165071,1
Alagoas,Brazil,Dengue,Auto ARIMA,2017-02,1953660.763,7999.471415,2045,340.8333333,2263.860335,0.588925569,4.148108683,1.281146529,0,3.911721963,4.659979756,2524.889998,0,7999.471415,1,5561.758505,1
Alagoas,Brazil,Dengue,Auto ARIMA,2017-03,1770807.418,8021.026322,2056,342.6666667,2307.95,0.579231665,4.437361803,1.265043044,0,3.901277394,4.546935512,2717.994345,0,8021.026322,1,5465.869647,1
Alagoas,Brazil,Dengue,Auto ARIMA,2017-04,1851770.284,7936.923674,1947,324.5,2341.292818,0.564995802,5.237547182,1.218557707,0,4.07648879,4.289990821,2318.057269,0,7936.923674,1,5488.123586,1
Alagoas,Brazil,Dengue,Auto ARIMA,2017-05,2622466.155,9197.147479,1857,309.5,2354.758242,0.650961906,6.570273932,1.352100064,0,4.952691157,4.671006507,2180.147334,0,9197.147479,1,5902.960256,1
Alagoas,Brazil,Dengue,Auto ARIMA,2017-06,1729060.979,6776.336544,1694,282.3333333,2349.628415,0.480667248,4.781584337,1.309750925,0,4.000198668,4.314906113,2207.924336,0,6776.336544,1,5481.919737,1
Alagoas,Brazil,Dengue,Auto ARIMA,2017-07,2312971.731,8927.137388,1575,262.5,2339.902174,0.635862579,6.137895691,1.448341579,0,5.668023738,4.526899489,2347.286217,0,8927.137388,1,5826.12965,1
Amapa,Brazil,Dengue,Auto ARIMA,2017-01,30212.93429,1009.938074,728,121.3333333,202.8033708,0.829981334,1.643628167,0.840739662,0,1.387277574,3.150092637,137.6517681,0.333333333,1009.938074,1,433.5786543,1
Amapa,Brazil,Dengue,Auto ARIMA,2017-02,24924.07135,938.4312975,657,109.5,201.6815642,0.775505767,2.175813937,0.910558359,0,1.428358139,3.200735202,81.62004567,0.166666667,938.4312975,1,423.0876813,1
Amapa,Brazil,Dengue,Auto ARIMA,2017-03,23411.33869,895.3346056,492,82,201.1111111,0.741990005,3.299099287,1.072254605,0,1.819785784,3.329398606,91.87724469,0.166666667,895.3346056,1,438.2938429,1
Amapa,Brazil,Dengue,Auto ARIMA,2017-04,17627.9882,691.1210999,314,52.33333333,201.2486188,0.572360947,4.318418237,1.08223231,0,2.201022611,3.259283602,118.4009365,0,691.1210999,1,422.57292,1
Amapa,Brazil,Dengue,Auto ARIMA,2017-05,15648.78652,632.9690113,287,47.83333333,201.467033,0.52363324,4.054349155,1.075284802,0,2.205466938,3.201714971,110.2733469,0,632.9690113,1,406.0371362,1
Amapa,Brazil,Dengue,Auto ARIMA,2017-06,19418.49148,813.9147106,210,35,200.9180328,0.675163149,5.158895213,1.319032317,0,3.875784336,3.355286157,99.79230898,0,813.9147106,1,414.2372213,1
Amapa,Brazil,Dengue,Auto ARIMA,2017-07,17174.88764,726.8634863,176,29.33333333,199.9728261,0.605801882,4.797482335,1.359775712,0,4.129906172,3.244758289,96.71883414,0,726.8634863,1,402.1342737,1
Amazonas,Brazil,Dengue,Auto ARIMA,2017-01,9481.022492,541.3104558,835,139.1666667,150.5280899,0.599346005,0.660473562,0.719316328,0,0.648275995,9.886994947,626.028409,0,541.3104558,0.333333333,556.5595592,1
Amazonas,Brazil,Dengue,Auto ARIMA,2017-02,13637.75321,690.8101701,723,120.5,149.8044693,0.768568714,2.101975216,0.743419668,0,0.955477414,10.59098624,495.3986621,0,690.8101701,0.666666667,632.7662392,1
Amazonas,Brazil,Dengue,Auto ARIMA,2017-03,30833.82188,944.7424705,579,96.5,149.6944444,1.051856527,2.738406313,0.943118182,0,1.631679569,9.77554816,376.2368393,0,944.7424705,1,800.2739458,1
Amazonas,Brazil,Dengue,Auto ARIMA,2017-04,25002.72964,915.3851823,430,71.66666667,150.2872928,1.015150344,2.685178583,1.064290995,0,2.12880275,9.313925657,367.0069037,0,915.3851823,1,746.5192629,1
Amazonas,Brazil,Dengue,Auto ARIMA,2017-05,8049.50686,512.9343048,362,60.33333333,151.5274725,0.564181857,1.604137855,1.015846108,0,1.416945593,10.2116829,580.5295214,0,512.9343048,0.833333333,634.0794337,1
Amazonas,Brazil,Dengue,Auto ARIMA,2017-06,4858.584111,452.2632958,392,65.33333333,151.568306,0.497315157,1.177848961,1.33236273,0,1.153732898,9.889225241,625.9299618,0,452.2632958,0.333333333,560.9638701,1
Amazonas,Brazil,Dengue,Auto ARIMA,2017-07,2428.236138,184.5135992,427,71.16666667,151.2771739,0.203284248,0.424335713,0.494364458,0,0.432116157,10.10196077,613.4312943,0,184.5135992,0.5,546.3811131,1
Bahia,Brazil,Dengue,Auto ARIMA,2017-01,19425664.31,23047.19903,8162,1360.333333,2820.657303,1.361810183,2.965093833,1.086717244,0,2.823719557,5.876210854,7904.319919,0.333333333,23047.19903,1,11210.77309,1
Bahia,Brazil,Dengue,Auto ARIMA,2017-02,16695641.61,24115.53436,6889,1148.166667,2839.938547,1.415261513,3.783811292,1.269755647,0,3.500585623,5.801532086,7407.614717,0.333333333,24115.53436,1,10982.14951,1
Bahia,Brazil,Dengue,Auto ARIMA,2017-03,7308693.137,14861.20428,5764,960.6666667,2939.177778,0.842707576,3.918836517,1.037565069,0,2.578279715,5.645343737,3589.343357,0,14861.20428,1,9172.38249,1
Bahia,Brazil,Dengue,Auto ARIMA,2017-04,6698500.049,15219.13505,4756,792.6666667,3041.779006,0.83389441,5.196096503,1.216435939,0,3.199986343,5.197314245,4068.201831,0,15219.13505,0.833333333,8642.776804,1
