item_id,country,case,model,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
BinhDinh,Vietnam,Dengue,ARIMA Madagaskar,2016-07,2606.715312,239.5259581,1072,178.6666667,85.56666667,0.466548419,0.19327612,0.228269973,0,0.223438394,5.320848103,205.4934001,0,239.5259581,0.166666667,133.9867403,1
BinhDinh,Vietnam,Dengue,ARIMA Madagaskar,2016-08,3045.075252,316.1899059,1058,176.3333333,85.46961326,0.616573723,0.293282406,0.324905771,0,0.298856244,5.055254872,219.4156961,0,316.1899059,0.166666667,108.5617109,0.833333333
BinhDinh,Vietnam,Dengue,ARIMA Madagaskar,2016-09,3438.993174,286.7534231,925,154.1666667,85.48901099,0.559045387,0.417397729,0.311296529,0,0.310003701,5.10013382,122.628109,0,286.7534231,0.833333333,227.1459678,1
BinhDinh,Vietnam,Dengue,ARIMA Madagaskar,2016-10,3020.319544,338.3648698,804,134,85.03278689,0.663204712,0.52366185,0.385787521,0,0.420851828,5.023542675,119.1259803,0,338.3648698,0.833333333,199.2179938,1
BinhDinh,Vietnam,Dengue,ARIMA Madagaskar,2016-11,9275.57196,575.0040491,637,106.1666667,84.875,1.129119389,1.030360124,0.652947737,0,0.902675116,5.014504643,48.92595374,0.333333333,575.0040491,1,274.1742899,1
BinhDinh,Vietnam,Dengue,ARIMA Madagaskar,2016-12,1158.128632,170.3869631,570,95,85.27027027,0.333033156,0.316140682,0.269853344,0,0.298924497,5.176537462,145.648668,0,170.3869631,0.833333333,208.8110954,1
BinhDinh,Vietnam,Dengue,ARIMA Madagaskar,2017-01,814.1296604,161.133889,600,100,85.59677419,0.313746031,0.243903949,0.292276945,0,0.268556482,5.227994048,187.0111168,0,161.133889,0,158.0000085,1
CaMau,Vietnam,Dengue,ARIMA Madagaskar,2016-07,134625.4459,1936.973354,3464,577.3333333,361.1166667,0.893973948,0.535634591,0.773522786,0,0.559172446,3.625651979,910.4744977,0,1936.973354,0,477.515167,0.666666667
CaMau,Vietnam,Dengue,ARIMA Madagaskar,2016-08,130296.831,2034.314662,3421,570.1666667,360.3314917,0.940945911,0.579611991,0.887871962,0,0.594654973,3.763933633,904.9288446,0,2034.314662,0,351.2738812,0.5
CaMau,Vietnam,Dengue,ARIMA Madagaskar,2016-09,16867.29074,737.4161065,2989,498.1666667,359.9395604,0.341453671,0.241555371,0.280775429,0,0.246709972,4.04430748,661.2290975,0,737.4161065,0.166666667,436.1274506,1
CaMau,Vietnam,Dengue,ARIMA Madagaskar,2016-10,13182.33258,544.6025967,2598,433,358.0218579,0.253523905,0.198445262,0.233208897,0,0.209623786,3.645544577,598.7665345,0,544.6025967,0.333333333,385.5622519,1
CaMau,Vietnam,Dengue,ARIMA Madagaskar,2016-11,7374.087633,423.1403211,2060,343.3333333,357.0597826,0.197511426,0.203348211,0.182273671,0,0.205407923,3.806678923,485.2054278,0,423.1403211,0.666666667,573.8460199,1
CaMau,Vietnam,Dengue,ARIMA Madagaskar,2016-12,5355.930765,325.9173717,1842,307,357.8864865,0.151778745,0.186976722,0.212671837,0,0.176936684,3.650872991,536.4586758,0,325.9173717,0.333333333,498.626886,1
CaMau,Vietnam,Dengue,ARIMA Madagaskar,2017-01,17999.82803,766.4319003,1938,323,358.5053763,0.356308883,0.415787506,0.541552314,0,0.395475697,3.999450911,675.6143733,0,766.4319003,0,363.0321925,1
DaNang,Vietnam,Dengue,ARIMA Madagaskar,2016-07,4533.122068,356.8055911,855,142.5,87.21666667,0.681837552,0.383827097,0.492545133,0,0.417316481,5.197059909,241.6649907,0,356.8055911,0.166666667,132.6452288,1
DaNang,Vietnam,Dengue,ARIMA Madagaskar,2016-08,2308.393496,251.0749828,844,140.6666667,87.03314917,0.480803359,0.27361535,0.336613518,0,0.297482207,5.101008799,219.3471205,0,251.0749828,0,126.8824842,1
DaNang,Vietnam,Dengue,ARIMA Madagaskar,2016-09,556.9721689,119.8324085,738,123,86.94505495,0.229709074,0.183984821,0.172461013,0,0.162374537,5.372987573,187.285328,0,119.8324085,0.5,170.2097627,1
DaNang,Vietnam,Dengue,ARIMA Madagaskar,2016-10,1161.52186,172.1625223,641,106.8333333,86.48087432,0.331793058,0.271399339,0.261020792,0,0.268584278,5.168286784,169.3361879,0,172.1625223,0.666666667,173.5860227,1
DaNang,Vietnam,Dengue,ARIMA Madagaskar,2016-11,1876.934012,313.4077856,508,84.66666667,86.25,0.605618909,0.690829771,0.494598425,0,0.61694446,5.102068887,129.6305381,0,313.4077856,1,222.4896694,1
DaNang,Vietnam,Dengue,ARIMA Madagaskar,2016-12,382.8828124,99.0650693,454,75.66666667,86.46486486,0.190954383,0.243071061,0.210288219,0,0.218204998,5.161040933,174.8136231,0,99.0650693,0.333333333,193.6130908,1
DaNang,Vietnam,Dengue,ARIMA Madagaskar,2017-01,766.1252814,148.3969585,478,79.66666667,86.62903226,0.285502744,0.320474575,0.301812901,0,0.310453888,5.148964497,179.8204473,0,148.3969585,0.5,157.5358206,1
DakLak,Vietnam,Dengue,ARIMA Madagaskar,2016-07,22258.67135,862.0948431,1387,231.1666667,129.0611111,1.113290228,0.592136116,0.873732337,0,0.6215536,5.877022144,433.7077606,0,862.0948431,0,117.6801995,1
DakLak,Vietnam,Dengue,ARIMA Madagaskar,2016-08,9930.463515,555.7140322,1370,228.3333333,128.8287293,0.718931297,0.419103253,0.542436873,0,0.40563068,5.768032887,401.0146591,0,555.7140322,0,197.2365202,1
DakLak,Vietnam,Dengue,ARIMA Madagaskar,2016-09,1951.445683,171.6711949,1197,199.5,128.7527473,0.222223342,0.130029431,0.13963773,0,0.143417874,5.98360568,345.4923791,0,171.6711949,0.333333333,273.1181027,1
DakLak,Vietnam,Dengue,ARIMA Madagaskar,2016-10,2837.611576,221.1216144,1040,173.3333333,128.0655738,0.287771345,0.205872539,0.208039201,0,0.212616937,5.590827993,309.6766776,0,221.1216144,0.666666667,249.375438,1
DakLak,Vietnam,Dengue,ARIMA Madagaskar,2016-11,1509.744743,188.7480282,825,137.5,127.7663043,0.246215188,0.230346794,0.224790919,0,0.228785489,5.455253092,242.9766258,0,188.7480282,0.833333333,316.6162678,1
DakLak,Vietnam,Dengue,ARIMA Madagaskar,2016-12,496.5777807,103.7770693,738,123,128.1837838,0.134932655,0.148654086,0.164837233,0,0.140619335,5.850899058,296.6280008,0,103.7770693,0.166666667,263.0874006,1
DakLak,Vietnam,Dengue,ARIMA Madagaskar,2017-01,1694.327967,192.7261733,776,129.3333333,128.5107527,0.249948181,0.244050437,0.260086398,0,0.248358471,5.765305113,329.3813909,0,192.7261733,0.166666667,247.5729346,1
DienBien,Vietnam,Dengue,ARIMA Madagaskar,2016-07,0.000947524,0.313061724,0,0,0.055555556,0.939185172,,2,0,inf,20.42635494,0.451736107,0,0.313061724,0.666666667,0.470798252,1
DienBien,Vietnam,Dengue,ARIMA Madagaskar,2016-08,0.00139671,0.264044781,0,0,0.055248619,0.796535089,,2,0,inf,18.96241047,0.398309805,0,0.264044781,0.666666667,0.449364768,1
DienBien,Vietnam,Dengue,ARIMA Madagaskar,2016-09,0.000442049,0.095271385,0,0,0.054945055,0.288989867,,2,0,inf,20.31704487,0.478200112,0,0.095271385,0.666666667,0.442726321,1
DienBien,Vietnam,Dengue,ARIMA Madagaskar,2016-10,0.002168455,0.233612469,0,0,0.054644809,0.71251803,,2,0,inf,21.086797,0.449082052,0,0.233612469,0.666666667,0.44532476,1
DienBien,Vietnam,Dengue,ARIMA Madagaskar,2016-11,0.000878182,0.192741317,0,0,0.054347826,0.591073373,,2,0,inf,20.57452574,0.441740997,0,0.192741317,0.333333333,0.4216785,1
DienBien,Vietnam,Dengue,ARIMA Madagaskar,2016-12,0.001654583,0.233107295,0,0,0.054054054,0.718747492,,2,0,inf,20.92055207,0.438215792,0,0.233107295,0.5,0.440574624,1
DienBien,Vietnam,Dengue,ARIMA Madagaskar,2017-01,0.002962804,0.300549338,0,0,0.053763441,0.931702949,,2,0,inf,20.29637658,0.407171301,0,0.300549338,0.833333333,0.469495657,1
GiaLai,Vietnam,Dengue,ARIMA Madagaskar,2016-07,1537.170529,169.3159371,622,103.6666667,71.25862069,0.396012757,0.239344036,0.292285808,0,0.272212118,4.903208773,171.376796,0,169.3159371,0,103.6590103,1
