item_id,country,case,model,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
0701larmany-0701 Xamnua-BCG diluent,Laos,EPI Logistics,Auto EWARS,2023-02,71.01223333,48,45,7.5,2.333333333,3.428571429,0.78647343,1.652150319,0,1.066666667,10.85714286,9,0.5,48,0.5,25.2,0.666666667
0701larmany-0701 Xamnua-BCG diluent,Laos,EPI Logistics,Auto EWARS,2023-03,73.64941667,45,50,8.333333333,2.307692308,3.25,0.725724638,1.446886447,0,0.9,12.42222222,10,0.333333333,45,0.333333333,32.8,0.666666667
0701larmany-0701 Xamnua-BCG diluent,Laos,EPI Logistics,Auto EWARS,2023-04,63.93183333,40,38,6.333333333,3,2.222222222,0.575362319,1.429012346,0,1.052631579,10.44444444,9.2,0.5,40,0.5,16,1
0701larmany-0701 Xamnua-BCG diluent,Laos,EPI Logistics,Auto EWARS,2023-05,60.3303,40,38,6.333333333,2.866666667,2.325581395,0.594202899,1.44047619,0,1.052631579,12.55813953,9.4,0.5,40,0.5,17.6,1
0701larmany-0701 Xamnua-BCG diluent,Laos,EPI Logistics,Auto EWARS,2023-06,67.91181667,36,43,7.166666667,2.75,2.181818182,0.592391304,1.269230769,0,0.837209302,8.242424242,8.6,0.333333333,36,0.333333333,24.2,0.833333333
0701larmany-0701 Xamnua-BCG diluent,Laos,EPI Logistics,Auto EWARS,2023-07,56.50273333,35,42,7,3.117647059,1.871069182,0.562318841,1.214285714,0,0.833333333,8.446540881,8.4,0.333333333,35,0.333333333,19.4,0.833333333
0701larmany-0701 Xamnua-BCG diluent,Laos,EPI Logistics,Auto EWARS,2023-08,33.65218333,23,29,4.833333333,4.166666667,0.92,0.411111111,1.132275132,0,0.793103448,22.36,5.6,0.333333333,23,0.5,32,0.833333333
0701larmany-0701 Xamnua-BCG vaccine,Laos,EPI Logistics,Auto EWARS,2023-02,68.14741667,46,45,7.5,2.333333333,3.285714286,0.771980676,1.631868132,0,1.022222222,10.42857143,9,0.5,46,0.5,22,0.666666667
0701larmany-0701 Xamnua-BCG vaccine,Laos,EPI Logistics,Auto EWARS,2023-03,72.82431667,45,50,8.333333333,2.307692308,3.25,0.689855072,1.402150319,0,0.9,14.3,10,0.333333333,45,0.333333333,25.2,0.666666667
0701larmany-0701 Xamnua-BCG vaccine,Laos,EPI Logistics,Auto EWARS,2023-04,68.14213333,38,38,6.333333333,3,2.111111111,0.527536232,1.394179894,0,1,10.38888889,7.6,0.5,38,0.5,27.4,0.833333333
0701larmany-0701 Xamnua-BCG vaccine,Laos,EPI Logistics,Auto EWARS,2023-05,70.87253333,40,38,6.333333333,2.866666667,2.325581395,0.542028986,1.401234568,0,1.052631579,10.29069767,7.4,0.5,40,0.5,25,0.833333333
0701larmany-0701 Xamnua-BCG vaccine,Laos,EPI Logistics,Auto EWARS,2023-06,65.56073333,38,43,7.166666667,2.75,2.303030303,0.642391304,1.328754579,0,0.88372093,8,8.6,0.333333333,38,0.333333333,25.4,0.833333333
0701larmany-0701 Xamnua-BCG vaccine,Laos,EPI Logistics,Auto EWARS,2023-07,48.15488333,35,42,7,3.117647059,1.871069182,0.562318841,1.214285714,0,0.833333333,10.05031447,8.4,0.333333333,35,0.333333333,12,0.833333333
0701larmany-0701 Xamnua-BCG vaccine,Laos,EPI Logistics,Auto EWARS,2023-08,35.40091667,26,29,4.833333333,4.166666667,1.04,0.488888889,1.202279202,0,0.896551724,22.28,5.8,0.333333333,26,0.333333333,32.4,0.833333333
0701larmany-0701 Xamnua-DTP-Hep B- Hib (Penta) vaccine,Laos,EPI Logistics,Auto EWARS,2023-02,38.32103333,55,134,22.33333333,6.416666667,1.428571429,0.359842318,0.472973935,0,0.410447761,16.25974026,25,0,55,0.166666667,32.4,1
0701larmany-0701 Xamnua-DTP-Hep B- Hib (Penta) vaccine,Laos,EPI Logistics,Auto EWARS,2023-03,38.11476667,67,144,24,7.076923077,1.577898551,0.455672495,0.620279793,0,0.465277778,13.70652174,27.2,0,67,0,32.4,1
0701larmany-0701 Xamnua-DTP-Hep B- Hib (Penta) vaccine,Laos,EPI Logistics,Auto EWARS,2023-04,33.87988333,44,127,21.16666667,7.714285714,0.950617284,0.356204062,0.411736512,0,0.346456693,15.90123457,23.2,0,44,0.166666667,44.8,1
