item_id,country,case,model,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
01 Vientiane Capital-Artesunate 60 mg,Laos,Malaria Logistics,Auto ARIMA,2020-07,5310.922035,342.3457777,340,56.66666667,8,7.132203702,1.003565035,1.998484939,0,1.006899346,238.8644123,80.63775014,0,342.3457777,0.166666667,552.9950072,0.333333333
01 Vientiane Capital-Artesunate 60 mg,Laos,Malaria Logistics,Auto ARIMA,2020-08,4248.316276,263.3749371,270,45,18.33333333,2.39431761,0.962671644,1.928212355,0,0.97546273,63.54784848,81.0690252,0,263.3749371,0.166666667,374.7399133,0.5
01 Vientiane Capital-Artesunate 60 mg,Laos,Malaria Logistics,Auto ARIMA,2020-09,3968.251706,228.1818114,215,35.83333333,23.57142857,1.613406747,1.004941563,1.995586961,0,1.061310751,40.9587175,75.65443741,0,228.1818114,0.5,309.5840891,0.666666667
01 Vientiane Capital-Artesunate 60 mg,Laos,Malaria Logistics,Auto ARIMA,2020-10,1570.722725,118.6462876,95,15.83333333,35.625,0.555070352,1.057508441,2,0,1.248908291,6.106998627,73.54126034,0,118.6462876,0.166666667,131.1161589,0.833333333
01 Vientiane Capital-Artesunate 60 mg,Laos,Malaria Logistics,Auto ARIMA,2020-11,11.16398023,24.93698331,0,0,42.22222222,0.09843546,,2,0,inf,3.565565758,58.06466086,0,24.93698331,0.5,58.59952942,1
01 Vientiane Capital-Artesunate 60 mg,Laos,Malaria Logistics,Auto ARIMA,2020-12,32.28609017,35.05886154,0,0,38,0.153766937,,2,0,inf,4.070536104,63.47163216,0,35.05886154,0.5,57.51963714,1
01 Vientiane Capital-Artesunate 60 mg,Laos,Malaria Logistics,Auto ARIMA,2021-01,7.481632159,16.08547995,0,0,34.54545455,0.077605386,,2,0,inf,4.046829423,57.8814754,0,16.08547995,0.666666667,58.55150889,1
01 Vientiane Capital-Coartem [6x1 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-07,37.31798497,26.36465588,26,4.333333333,3.2,1.37315916,0.993133047,1.966648495,0,1.014025226,8.697605972,16.67741463,0,26.36465588,0.5,10.73509513,0.833333333
01 Vientiane Capital-Coartem [6x1 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-08,33.88941568,22.11706919,19,3.166666667,3.833333333,0.961611704,1.059622911,1.994873309,0,1.164056273,7.925119089,15.57947773,0,22.11706919,0.166666667,11.31273254,0.833333333
01 Vientiane Capital-Coartem [6x1 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-09,34.55593003,22.02099807,19,3.166666667,3.285714286,1.117007149,0.975844084,1.949930288,0,1.158999899,9.168521599,14.8537157,0,22.02099807,0.166666667,16.06752824,0.833333333
01 Vientiane Capital-Coartem [6x1 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-10,501.8941595,64.6372937,62,10.33333333,4.375,2.462373093,1.006101018,2,0,1.042536995,67.854145,23.29982381,0,64.6372937,0.166666667,92.31401358,0.833333333
01 Vientiane Capital-Coartem [6x1 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-11,488.9420359,61.85106908,62,10.33333333,4.666666667,2.208966753,0.962300386,1.951713443,0,0.997597888,56.95858874,22.80671343,0,61.85106908,0.166666667,86.80123703,0.833333333
01 Vientiane Capital-Coartem [6x1 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-12,526.6928412,63.77821551,62,10.33333333,4.2,2.530881568,0.955810079,1.943486299,0,1.028680895,69.25216192,24.29378713,0,63.77821551,0.333333333,89.65290266,0.833333333
01 Vientiane Capital-Coartem [6x1 tablets],Laos,Malaria Logistics,Auto ARIMA,2021-01,521.5132075,66.94511021,62,10.33333333,3.818181818,2.922207192,0.991712383,1.98906981,0,1.079759842,74.24479406,22.86416244,0,66.94511021,0.5,88.6556017,0.833333333
01 Vientiane Capital-Coartem [6x2 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-07,40.23179269,27.1788789,26,4.333333333,3.2,1.415566609,0.947051921,1.891475826,0,1.045341496,9.072064807,16.69640317,0,27.1788789,0.166666667,13.58477997,0.833333333
01 Vientiane Capital-Coartem [6x2 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-08,34.90866937,23.05316635,19,3.166666667,3.833333333,1.00231158,1.046785498,2,0,1.213324545,7.705104164,15.9715484,0,23.05316635,0.333333333,14.84748453,0.833333333
01 Vientiane Capital-Coartem [6x2 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-09,37.04865862,23.24443603,19,3.166666667,3.285714286,1.179065596,1.050182256,2,0,1.22339137,9.367988066,15.32158171,0,23.24443603,0.166666667,9.566188579,0.666666667
01 Vientiane Capital-Coartem [6x2 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-10,504.7241752,63.82273973,62,10.33333333,4.375,2.431342466,0.915858001,1.901152783,0,1.029399028,64.24796999,24.20206222,0,63.82273973,0.166666667,88.04166442,0.833333333
01 Vientiane Capital-Coartem [6x2 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-11,531.2696734,68.13348963,62,10.33333333,4.666666667,2.433338915,1.070548807,2,0,1.098927252,62.73259463,23.94511751,0,68.13348963,0.5,91.08022132,0.833333333
01 Vientiane Capital-Coartem [6x2 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-12,522.0835518,67.61813137,62,10.33333333,4.2,2.683259182,1.04405128,2,0,1.090615022,68.7286053,24.06188462,0,67.61813137,0.5,89.53920531,0.833333333
01 Vientiane Capital-Coartem [6x2 tablets],Laos,Malaria Logistics,Auto ARIMA,2021-01,524.7640676,65.94318749,62,10.33333333,3.818181818,2.87847247,1.012993093,2,0,1.063599798,82.3210636,22.68097481,0,65.94318749,0.166666667,92.76378381,0.833333333
01 Vientiane Capital-Coartem [6x3 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-07,44.61293436,29.29885789,26,4.333333333,3.2,1.525982182,1.040102479,1.972085312,0,1.12687915,9.397039649,16.6312464,0,29.29885789,0.166666667,12.23842619,0.833333333
01 Vientiane Capital-Coartem [6x3 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-08,34.26023879,22.64076502,19,3.166666667,3.833333333,0.984381088,1.025237829,1.973770074,0,1.191619211,8.628804654,15.5991512,0,22.64076502,0.166666667,12.1011425,0.833333333
01 Vientiane Capital-Coartem [6x3 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-09,31.92260467,22.40008384,19,3.166666667,3.285714286,1.136236137,0.966024575,1.957134081,0,1.178951781,9.062121225,15.99279205,0,22.40008384,0.5,8.316467952,1
01 Vientiane Capital-Coartem [6x3 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-10,7.042699951,13.15899463,7,1.166666667,4.375,0.501295033,1.055994412,2,0,1.879856375,6.75854182,12.81861971,0,13.15899463,0.666666667,11.19709184,1
01 Vientiane Capital-Coartem [6x3 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-11,0.37963028,4.204812689,0,0,4.666666667,0.150171882,,2,0,inf,6.535894273,11.9130672,0,4.204812689,0.666666667,12.31872817,1
01 Vientiane Capital-Coartem [6x3 tablets],Laos,Malaria Logistics,Auto ARIMA,2020-12,0.661149425,6.121476732,0,0,4.2,0.242915743,,2,0,inf,6.787912673,10.65384743,0,6.121476732,0.666666667,12.58651779,1
