,time_period,rainfall,mean_temperature,population,parent,location,E,month,ID_year,ID_spat
0,2017-07,5.247,22.7,12917.3088100758,-,AltoParaguay,12917.3088100758,7,2017,AltoParaguay
1,2017-08,44.263,24.9,12917.3088100758,-,AltoParaguay,12917.3088100758,8,2017,AltoParaguay
2,2017-09,39.775,27.17,12917.3088100758,-,AltoParaguay,12917.3088100758,9,2017,AltoParaguay
3,2017-10,116.534,27.86,12917.3088100758,-,AltoParaguay,12917.3088100758,10,2017,AltoParaguay
4,2017-11,161.677,27.3,12917.3088100758,-,AltoParaguay,12917.3088100758,11,2017,AltoParaguay
5,2017-12,253.699,27.87,12917.3088100758,-,AltoParaguay,12917.3088100758,12,2017,AltoParaguay
0,2017-07,10.57,18.11,1181921.28357873,-,AltoParana,1181921.28357873,7,2017,AltoParana
1,2017-08,124.072,20.15,1181921.28357873,-,AltoParana,1181921.28357873,8,2017,AltoParana
2,2017-09,38.922,24.51,1181921.28357873,-,AltoParana,1181921.28357873,9,2017,AltoParana
3,2017-10,305.828,22.58,1181921.28357873,-,AltoParana,1181921.28357873,10,2017,AltoParana
4,2017-11,177.295,23.13,1181921.28357873,-,AltoParana,1181921.28357873,11,2017,AltoParana
5,2017-12,184.725,25.81,1181921.28357873,-,AltoParana,1181921.28357873,12,2017,AltoParana
0,2017-07,11.381,19.47,311740.63931157,-,Amambay,311740.63931157,7,2017,Amambay
1,2017-08,146.432,22.19,311740.63931157,-,Amambay,311740.63931157,8,2017,Amambay
2,2017-09,21.681,25.96,311740.63931157,-,Amambay,311740.63931157,9,2017,Amambay
3,2017-10,223.681,24.87,311740.63931157,-,Amambay,311740.63931157,10,2017,Amambay
4,2017-11,242.591,24.38,311740.63931157,-,Amambay,311740.63931157,11,2017,Amambay
5,2017-12,296.076,25.72,311740.63931157,-,Amambay,311740.63931157,12,2017,Amambay
0,2017-07,8.703,19.52,1580680.02358774,-,Asuncion,1580680.02358774,7,2017,Asuncion
1,2017-08,120.153,21.28,1580680.02358774,-,Asuncion,1580680.02358774,8,2017,Asuncion
2,2017-09,64.091,23.51,1580680.02358774,-,Asuncion,1580680.02358774,9,2017,Asuncion
3,2017-10,305.597,23.04,1580680.02358774,-,Asuncion,1580680.02358774,10,2017,Asuncion
4,2017-11,224.825,23.43,1580680.02358774,-,Asuncion,1580680.02358774,11,2017,Asuncion
5,2017-12,112.479,27.22,1580680.02358774,-,Asuncion,1580680.02358774,12,2017,Asuncion
0,2017-07,9.064,18.99,48396.7097384562,-,Boqueron,48396.7097384562,7,2017,Boqueron
1,2017-08,126.392,20.33,48396.7097384562,-,Boqueron,48396.7097384562,8,2017,Boqueron
2,2017-09,76.668,22.84,48396.7097384562,-,Boqueron,48396.7097384562,9,2017,Boqueron
3,2017-10,320.496,22.19,48396.7097384562,-,Boqueron,48396.7097384562,10,2017,Boqueron
4,2017-11,225.99,22.69,48396.7097384562,-,Boqueron,48396.7097384562,11,2017,Boqueron
5,2017-12,130.343,26.69,48396.7097384562,-,Boqueron,48396.7097384562,12,2017,Boqueron
0,2017-07,11.603,21.58,386240.43349985,-,Caaguazu,386240.43349985,7,2017,Caaguazu
1,2017-08,28.967,23.38,386240.43349985,-,Caaguazu,386240.43349985,8,2017,Caaguazu
2,2017-09,51.43,25.03,386240.43349985,-,Caaguazu,386240.43349985,9,2017,Caaguazu
3,2017-10,75.597,26.58,386240.43349985,-,Caaguazu,386240.43349985,10,2017,Caaguazu
4,2017-11,139.848,27.07,386240.43349985,-,Caaguazu,386240.43349985,11,2017,Caaguazu
5,2017-12,175.026,28.16,386240.43349985,-,Caaguazu,386240.43349985,12,2017,Caaguazu
0,2017-07,9.569,18.8,198408.148132324,-,Caazapa,198408.148132324,7,2017,Caazapa
1,2017-08,110.597,20.85,198408.148132324,-,Caazapa,198408.148132324,8,2017,Caazapa
2,2017-09,56.816,24.41,198408.148132324,-,Caazapa,198408.148132324,9,2017,Caazapa
3,2017-10,298.928,22.92,198408.148132324,-,Caazapa,198408.148132324,10,2017,Caazapa
4,2017-11,220.273,23.28,198408.148132324,-,Caazapa,198408.148132324,11,2017,Caazapa
5,2017-12,171.483,26.1,198408.148132324,-,Caazapa,198408.148132324,12,2017,Caazapa
0,2017-07,11.285,18.33,188029.616553673,-,Canindeyu,188029.616553673,7,2017,Canindeyu
1,2017-08,132.554,19.89,188029.616553673,-,Canindeyu,188029.616553673,8,2017,Canindeyu
2,2017-09,91.965,23.01,188029.616553673,-,Canindeyu,188029.616553673,9,2017,Canindeyu
3,2017-10,276.083,21.9,188029.616553673,-,Canindeyu,188029.616553673,10,2017,Canindeyu
4,2017-11,188.358,22.47,188029.616553673,-,Canindeyu,188029.616553673,11,2017,Canindeyu
5,2017-12,134.966,26.11,188029.616553673,-,Canindeyu,188029.616553673,12,2017,Canindeyu
0,2017-07,7.721,18.64,254897.625735943,-,Concepcion,254897.625735943,7,2017,Concepcion
1,2017-08,125.488,21.0,254897.625735943,-,Concepcion,254897.625735943,8,2017,Concepcion
2,2017-09,20.42,25.41,254897.625735943,-,Concepcion,254897.625735943,9,2017,Concepcion
3,2017-10,260.236,23.66,254897.625735943,-,Concepcion,254897.625735943,10,2017,Concepcion
4,2017-11,187.809,23.58,254897.625735943,-,Concepcion,254897.625735943,11,2017,Concepcion
5,2017-12,254.574,25.64,254897.625735943,-,Concepcion,254897.625735943,12,2017,Concepcion
0,2017-07,9.235,19.41,1290036.64729192,-,Cordillera,1290036.64729192,7,2017,Cordillera
1,2017-08,113.969,21.43,1290036.64729192,-,Cordillera,1290036.64729192,8,2017,Cordillera
2,2017-09,76.615,23.93,1290036.64729192,-,Cordillera,1290036.64729192,9,2017,Cordillera
3,2017-10,316.301,23.19,1290036.64729192,-,Cordillera,1290036.64729192,10,2017,Cordillera
4,2017-11,266.498,23.43,1290036.64729192,-,Cordillera,1290036.64729192,11,2017,Cordillera
5,2017-12,168.401,26.89,1290036.64729192,-,Cordillera,1290036.64729192,12,2017,Cordillera
0,2017-07,7.898,20.6,171413.906024639,-,Guaira,171413.906024639,7,2017,Guaira
1,2017-08,113.517,23.25,171413.906024639,-,Guaira,171413.906024639,8,2017,Guaira
2,2017-09,23.101,26.2,171413.906024639,-,Guaira,171413.906024639,9,2017,Guaira
3,2017-10,210.965,25.86,171413.906024639,-,Guaira,171413.906024639,10,2017,Guaira
4,2017-11,198.992,25.39,171413.906024639,-,Guaira,171413.906024639,11,2017,Guaira
5,2017-12,314.31,27.02,171413.906024639,-,Guaira,171413.906024639,12,2017,Guaira
0,2017-07,11.829,18.48,1028915.52070031,-,Itapua,1028915.52070031,7,2017,Itapua
1,2017-08,133.814,20.23,1028915.52070031,-,Itapua,1028915.52070031,8,2017,Itapua
