time_period,rainfall,mean_temperature,disease_cases,population,location
2015-01,31.118,22.01,36833,918541,XxBlJkEmJGQ
2015-02,68.561,21.88,21868,918541,XxBlJkEmJGQ
2015-03,104.328,21.55,20523,918541,XxBlJkEmJGQ
2015-04,157.301,20.32,21365,918541,XxBlJkEmJGQ
2015-05,75.277,20.89,7254,918541,XxBlJkEmJGQ
2015-06,17.904,21.73,10472,918541,XxBlJkEmJGQ
2015-07,1.815,22.6,9324,918541,XxBlJkEmJGQ
2015-08,5.62,23.21,3478,918541,XxBlJkEmJGQ
2015-09,52.526,22.37,4808,918541,XxBlJkEmJGQ
2015-10,206.977,21.08,9099,918541,XxBlJkEmJGQ
2015-11,148.6,20.33,14852,918541,XxBlJkEmJGQ
2015-12,120.942,20.84,17894,918541,XxBlJkEmJGQ
2016-01,88.084,21.72,9935,965381.65,XxBlJkEmJGQ
2016-02,48.557,22.83,9606,962744,XxBlJkEmJGQ
2016-03,58.719,22.62,11618,965381.65,XxBlJkEmJGQ
2016-04,207.31,20.85,11491,965381.65,XxBlJkEmJGQ
2016-05,34.293,21.66,8743,965381.65,XxBlJkEmJGQ
2016-06,1.152,21.8,7491,965381.65,XxBlJkEmJGQ
2016-07,0.524,22.67,5374,965381.65,XxBlJkEmJGQ
2016-08,5.144,23.29,1928,965381.65,XxBlJkEmJGQ
2016-09,64.908,22.9,5701,965381.65,XxBlJkEmJGQ
2016-10,104.465,21.79,34015,965381.65,XxBlJkEmJGQ
2016-11,133.503,20.55,66122,965381.65,XxBlJkEmJGQ
2016-12,69.169,20.76,37982,965381.65,XxBlJkEmJGQ
2017-01,52.143,21.95,14061,917651,XxBlJkEmJGQ
2017-02,87.326,21.31,9046,917651,XxBlJkEmJGQ
2017-03,107.304,21.12,8863,917651,XxBlJkEmJGQ
2017-04,100.317,20.69,18466,917651,XxBlJkEmJGQ
2017-05,106.485,20.61,37699,917651,XxBlJkEmJGQ
2017-06,1.523,22.03,42182,917651,XxBlJkEmJGQ
2017-07,0.58,23,31368,917651,XxBlJkEmJGQ
2017-08,22.229,22.72,16532,917651,XxBlJkEmJGQ
2017-09,77.333,21.73,33099,917651,XxBlJkEmJGQ
2017-10,113.818,21.51,65644,917651,XxBlJkEmJGQ
2017-11,107.489,20.52,88037,917651,XxBlJkEmJGQ
2017-12,108.943,21.04,99548,917651,XxBlJkEmJGQ
2018-01,120.744,20.73,89198,996408,XxBlJkEmJGQ
2018-02,63.242,21.72,58218,996408,XxBlJkEmJGQ
2018-03,119.663,20.89,53195,996408,XxBlJkEmJGQ
2018-04,314.791,20.07,24939,996408,XxBlJkEmJGQ
2018-05,80.047,20.36,14589,996408,XxBlJkEmJGQ
2018-06,9.232,21.04,12683,996408,XxBlJkEmJGQ
2018-07,1.313,21.14,8353,996408,XxBlJkEmJGQ
2018-08,102.001,21.28,6305,996408,XxBlJkEmJGQ
2018-09,33.743,21.42,5854,996408,XxBlJkEmJGQ
2018-10,95.017,21.14,7586,996408,XxBlJkEmJGQ
2018-11,94.687,20.92,16261,996408,XxBlJkEmJGQ
2018-12,94.975,20.55,19810,996408,XxBlJkEmJGQ
2019-01,58.938,21.5,17194,997112,XxBlJkEmJGQ
2019-02,55.346,21.98,18688,997112,XxBlJkEmJGQ
2019-03,73.314,22.07,19789,997112,XxBlJkEmJGQ
2019-04,114.333,21.38,13831,997112,XxBlJkEmJGQ
2019-05,108.771,20.5,9814,997112,XxBlJkEmJGQ
2019-06,14.598,21.46,9038,997112,XxBlJkEmJGQ
