,time_period,rainfall,mean_temperature,population,parent,location,E,month,ID_year,ID_spat
0,2017-01,171.953,22.06,265789.823102679,-,BinhDinh,265789.823102679,1,2017,BinhDinh
1,2017-02,127.02,21.57,265789.823102679,-,BinhDinh,265789.823102679,2,2017,BinhDinh
2,2017-03,64.888,23.71,265789.823102679,-,BinhDinh,265789.823102679,3,2017,BinhDinh
3,2017-04,112.804,25.89,265789.823102679,-,BinhDinh,265789.823102679,4,2017,BinhDinh
4,2017-05,304.961,26.81,265789.823102679,-,BinhDinh,265789.823102679,5,2017,BinhDinh
5,2017-06,106.798,27.97,265789.823102679,-,BinhDinh,265789.823102679,6,2017,BinhDinh
0,2017-01,93.123,25.96,947523.383928571,-,CaMau,947523.383928571,1,2017,CaMau
1,2017-02,64.023,26.1,947523.383928571,-,CaMau,947523.383928571,2,2017,CaMau
2,2017-03,94.989,27.19,947523.383928571,-,CaMau,947523.383928571,3,2017,CaMau
3,2017-04,190.699,27.79,947523.383928571,-,CaMau,947523.383928571,4,2017,CaMau
4,2017-05,320.822,27.68,947523.383928571,-,CaMau,947523.383928571,5,2017,CaMau
5,2017-06,214.527,27.63,947523.383928571,-,CaMau,947523.383928571,6,2017,CaMau
0,2017-01,261.366,22.12,2920949.03989955,-,DaNang,2920949.03989955,1,2017,DaNang
1,2017-02,129.278,21.78,2920949.03989955,-,DaNang,2920949.03989955,2,2017,DaNang
2,2017-03,51.627,23.71,2920949.03989955,-,DaNang,2920949.03989955,3,2017,DaNang
3,2017-04,117.711,25.42,2920949.03989955,-,DaNang,2920949.03989955,4,2017,DaNang
4,2017-05,320.079,26.03,2920949.03989955,-,DaNang,2920949.03989955,5,2017,DaNang
5,2017-06,169.909,26.62,2920949.03989955,-,DaNang,2920949.03989955,6,2017,DaNang
0,2017-01,89.285,25.9,1806195.28348214,-,DakLak,1806195.28348214,1,2017,DakLak
1,2017-02,74.823,26.09,1806195.28348214,-,DakLak,1806195.28348214,2,2017,DakLak
2,2017-03,102.07,27.24,1806195.28348214,-,DakLak,1806195.28348214,3,2017,DakLak
